B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
6.301353128	9.60705009	8.949008949	0	9.247988574	7.489435398	9.856275806	8.488191303	540	PBS	DL33
5.219027294	0	0	0	0	0	0	0	540	PBS	DL33
0	0	0	0	0	0	3.212687861	0	540	PBS	DL33
0	0	7.33624868	0	0	0	0	0	540	PBS	DL33
3.800413976	0	0	0	0	0	0	0	540	PBS	DL33
7.715929039	0	0	0	0	0	0	0	540	PBS	DL33
3.731495044	0	0	0	0	0	0	0	540	PBS	DL33
5.920184557	0	0	0	0	0	0	0	540	PBS	DL33
0	1.850767795	0	0	0	0	0	0	540	PBS	DL33
0	8.675898602	0	0	0	0	0	0	540	PBS	DL33
0	0	5.960494877	0	3.280129345	2.019309843	0	2.596483513	540	PBS	DL33
0	0	0	0	2.015688275	2.567056444	5.130694422	2.003145182	540	PBS	DL33
0	9.818942157	9.828190113	0	0	0	0	0	540	PBS	DL33
5.912152502	0	0	0	0	0	0	0	540	PBS	DL33
7.471986473	9.108991683	8.985721181	10.26133209	7.603581292	8.898730735	9.870360546	9.276943708	540	PBS	DL33
0	0	7.03485768	0	0	0	0	0	540	PBS	DL33
0	7.492199405	7.916611365	0	0	0	0	0	540	PBS	DL33
0	6.567803749	8.4393889	0	8.444767879	8.696402396	6.330627419	8.261890092	540	PBS	DL33
0	0	2.639365822	5.605596057	3.721131704	4.585632494	5.255849824	4.78820645	540	PBS	DL33
6.154463157	0	0	0	0	0	0	0	540	PBS	DL33
0	0	1.961102684	0	3.334051659	1.744834969	5.017907774	2.596483513	540	PBS	DL33
0	8.943248233	9.036999939	0	0	4.692857952	0	3.578187696	540	PBS	DL33
0	9.012421267	9.942461732	0	5.061210069	4.819994286	0	4.659015166	540	PBS	DL33
0	6.295508024	0	0	0	0	7.905745203	0	540	PBS	DL33
1.812046271	0	0	0	0	0	0	0	540	PBS	DL33
8.265055421	10.84660547	9.998273001	8.454261436	4.807248429	6.7289202	9.837182147	7.345677991	540	PBS	DL33
0	12.22322423	12.42738699	0	10.5097586	11.40201636	10.42817651	10.70146264	540	PBS	DL33
0	0	0	3.888350519	3.223142075	0	3.117717143	3.139333891	540	PBS	DL33
0	7.706305595	0	0	6.95922493	5.898447847	0	6.314416245	540	PBS	DL33
