B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
8.272115557	8.878209322	9.093489186	0	6.824479094	4.709729508	0	6.139775567	89	FL	DL70
6.503615128	11.90206239	13.01744199	8.077478094	10.9424121	10.3058044	8.971927074	10.49395284	89	FL	DL70
0	0	2.423656596	0	0	0	0	0	89	FL	DL70
0	0	1.753099327	0	0	0	0	0	89	FL	DL70
5.438921019	0	0	0	0	0	0	0	89	FL	DL70
8.570039094	7.278058553	7.666740077	0	6.033480688	6.3410683	0	5.895749047	89	FL	DL70
0	5.403119936	0	0	0	0	0	0	89	FL	DL70
5.215788083	4.444982506	0	0	0	0	6.33355993	0	89	FL	DL70
0	0	0	6.731332128	0	0	0	5.284593577	89	FL	DL70
0	0	5.634664771	0	0	0	0	0	89	FL	DL70
0	0	1.753099327	0	0	0	0	0	89	FL	DL70
0	0	2.643984554	0	0	0	0	0	89	FL	DL70
0	0	3.515273316	0	0	0	0	0	89	FL	DL70
0	0	3.428429866	0	0	0	0	0	89	FL	DL70
8.471448438	6.703628706	9.083686737	9.411210036	8.99304725	10.51277329	0	9.772267486	89	FL	DL70
0	5.024706439	7.383852253	0	6.188964056	5.808269679	0	5.789831814	89	FL	DL70
0	0	4.07429345	0	0	0	0	0	89	FL	DL70
8.516214448	11.49077685	10.41057712	12.0754355	12.50517101	13.77283483	10.34202568	13.02024806	89	FL	DL70
12.15434614	8.761380035	9.03518252	6.869482123	6.416894582	4.997376087	8.68080267	6.322751652	89	FL	DL70
0	6.528742758	7.8527681	9.812645869	7.204191078	6.188728682	0	8.53156318	89	FL	DL70
6.632826349	0	0	6.570990016	0	0	0	5.124260641	89	FL	DL70
6.432156509	0	4.718441013	0	0	0	0	0	89	FL	DL70
0	0	2.423656596	0	0	0	0	0	89	FL	DL70
0	0	3.669189471	0	0	0	0	0	89	FL	DL70
0	11.09396806	9.138105107	7.500238237	7.17178769	0	7.404547859	6.94279689	89	FL	DL70
6.413464475	4.962836727	0	0	4.251220858	0	0	3.493732223	89	FL	DL70
0	0	0	0	3.307896207	0	0	2.554408367	89	FL	DL70
0	6.410960289	0	0	5.368001041	4.81507461	0	4.919978048	89	FL	DL70
0	0	0	7.253206666	4.538814137	0	0	5.930319886	89	FL	DL70
5.534227924	0	4.640492923	0	0	0	0	0	89	FL	DL70
0	0	3.920247136	0	0	0	0	0	89	FL	DL70
4.841127529	0	1.753099327	0	0	0	0	0	89	FL	DL70
0	0	6.463206263	0	5.252493806	5.66943612	0	5.166817367	89	FL	DL70
0	0	2.14197806	0	0	0	0	0	89	FL	DL70
0	5.908438146	0	0	4.19408702	0	0	3.436685516	89	FL	DL70
0	7.628833534	0	0	4.19408702	0	0	3.436685516	89	FL	DL70
0	9.117005799	7.050505928	6.537837943	0	0	0	5.091110861	89	FL	DL70
0	0	3.863136353	0	0	0	0	0	89	FL	DL70
0	3.821170242	0	0	0	0	0	0	89	FL	DL70
0	4.919356059	0	0	0	0	0	0	89	FL	DL70
0	6.711063663	0	5.416515045	3.441114032	0	0	4.213573435	89	FL	DL70
5.487709429	0	4.879687181	0	0	0	0	0	89	FL	DL70
5.438921019	0	0	6.537837943	0	0	0	5.091110861	89	FL	DL70
0	0	0	0	3.925984526	0	0	3.169154862	89	FL	DL70
0	5.1902087	7.870028502	0	0	0	0	0	89	FL	DL70
9.790469578	8.369642982	9.200516026	0	4.618839954	0	8.276027015	3.860976285	89	FL	DL70
0	0	0	0	0	4.910373385	0	3.69409781	89	FL	DL70
7.705860265	4.203905817	0	9.893048118	6.442053011	9.314262859	0	9.016489101	89	FL	DL70
0	7.076220279	5.897023826	0	5.210823491	0	0	4.452719914	89	FL	DL70
0	0	2.824766661	0	0	0	0	0	89	FL	DL70
5.33356493	10.32278057	8.331978308	10.01056968	10.0060566	11.28022005	7.318584377	10.57358286	89	FL	DL70
0	7.712510921	7.449477093	0	4.00003893	0	0	3.243019722	89	FL	DL70
5.215788083	6.887192809	7.678466591	0	3.307896207	0	0	2.554408367	89	FL	DL70
7.097130909	3.752248306	0	8.251735063	3.307896207	3.611765575	0	6.830948824	89	FL	DL70
0	6.775602004	7.186461385	7.495937158	5.935364078	5.508172502	0	6.513235499	89	FL	DL70
0	9.033449915	8.471388599	8.293366441	7.749207699	7.730073454	7.986275314	7.901558254	89	FL	DL70
0	5.33217129	3.920247136	0	4.356542815	4.016825609	0	3.970088691	89	FL	DL70
11.49181451	7.020723958	0	0	5.691390838	5.253291178	0	5.275291667	89	FL	DL70
0	0	4.555952702	0	0	0	0	0	89	FL	DL70
0	0	3.228277833	0	0	0	0	0	89	FL	DL70
0	0	0	10.9459244	6.53679794	6.564210733	0	9.538340185	89	FL	DL70
0	6.736659136	0	0	4.30526728	0	0	3.547704878	89	FL	DL70
0	6.283127704	6.522545431	0	4.068988579	0	0	3.311816334	89	FL	DL70
0	0	3.333340346	0	0	0	0	0	89	FL	DL70
0	6.017920928	0	0	0	0	0	0	89	FL	DL70
0	4.48006449	3.333340346	0	0	0	0	0	89	FL	DL70
0	0	0	0	0	3.611765575	0	2.402419859	89	FL	DL70
6.632826349	4.331688861	0	0	2.069849153	0	0	1.36326912	89	FL	DL70
0	0	2.824766661	0	0	0	0	0	89	FL	DL70
0	0	2.643984554	0	0	0	0	0	89	FL	DL70
0	0	0	0	3.441114032	0	0	2.686528915	89	FL	DL70
6.632826349	5.666529084	7.441300438	0	4.405317695	3.20721009	0	3.821791702	89	FL	DL70
12.25437765	9.640971162	10.25599078	10.17866924	11.3115896	10.05304533	11.67268845	10.8470641	89	FL	DL70
0	0	2.643984554	0	0	0	0	0	89	FL	DL70
0	0	0	0	4.00003893	0	0	3.243019722	89	FL	DL70
5.534227924	3.598296286	0	0	0	0	0	0	89	FL	DL70
0	0	0	6.503549018	0	3.20721009	0	5.102283326	89	FL	DL70
0	7.720641044	0	0	4.692934523	0	0	3.935023254	89	FL	DL70
0	8.612616796	8.11872507	0	6.688523827	7.066301417	7.800633385	6.583852776	89	FL	DL70
0	0	4.836207316	0	0	0	0	0	89	FL	DL70
0	0	6.646254611	0	7.376803659	9.286647693	0	8.280300219	89	FL	DL70
8.732885471	7.680718346	8.640829575	0	6.024091057	6.869133705	0	6.170785524	89	FL	DL70
0	0	5.495406801	0	0	0	0	0	89	FL	DL70
9.077803245	5.666529084	0	0	0	0	0	0	89	FL	DL70
0	4.248338604	0	0	0	0	0	0	89	FL	DL70
6.204374072	5.37534153	0	0	2.97270528	0	0	2.223653723	89	FL	DL70
0	7.701566904	0	0	6.316476428	5.946417841	0	5.92056385	89	FL	DL70
0	11.23397734	10.31074654	6.443651162	7.313889886	7.076772702	8.325112492	7.091642277	89	FL	DL70
4.640487636	10.19741737	9.837103319	7.438271554	7.287572602	8.757561126	8.561812016	7.995699862	89	FL	DL70
0	5.697618949	0	0	0	0	0	0	89	FL	DL70
