"B"	"cDC1"	"cDC2"	"eos"	"mon"	"neu"	"pDC"	"mye"	"mouse"	"treatment"	"exp"
4.97417037919823	0	0	13.0346193229468	13.1471063123416	12.823804685936	0	12.9929392147462	"1226"	"PBS"	"DL198_noE"
0	0	0	0	0	0	2.00175888077604	0	"1226"	"PBS"	"DL198_noE"
0	0	0	0	0	5.45879583188319	0	4.47583039331599	"1226"	"PBS"	"DL198_noE"
5.75429117228976	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	0	9.51715814630108	7.36616759730946	9.4121902828142	0	9.2131718560284	"1226"	"PBS"	"DL198_noE"
7.1847258491271	0	0	8.72740856288535	0	0	0	7.7368945280528	"1226"	"PBS"	"DL198_noE"
0	0	0	0	0	4.62757579868395	0	3.64508578781716	"1226"	"PBS"	"DL198_noE"
0	0	0	0	3.10549658065129	0	0	1.76462629440444	"1226"	"PBS"	"DL198_noE"
0	0	0	2.4452391921916	0	0	0	1.4984143841104	"1226"	"PBS"	"DL198_noE"
6.34515254100777	0	0	0	6.36158683974021	0	0	4.99300341789441	"1226"	"PBS"	"DL198_noE"
0	0	0	2.72964073646386	0	0	0	1.76462629440444	"1226"	"PBS"	"DL198_noE"
10.3157316084416	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
5.11523722473356	11.714426206904	12.0438174416847	11.4718926400717	12.0950184843236	11.7253659490627	12.2919804497942	11.7555534826274	"1226"	"PBS"	"DL198_noE"
10.263995292145	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	8.83303718171426	9.30358404888792	6.48787989961974	7.0552291568344	0	8.45054725556562	"1226"	"PBS"	"DL198_noE"
5.73323819501802	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	0	4.17253161575603	0	0	0	3.18349860653111	"1226"	"PBS"	"DL198_noE"
0	0	0	2.4452391921916	0	0	0	1.4984143841104	"1226"	"PBS"	"DL198_noE"
0	0	0	4.67137278964659	0	0	0	3.68140560199648	"1226"	"PBS"	"DL198_noE"
6.29789996151613	0	9.37884336436406	0	6.36158683974021	8.64553017288953	0	7.72944570689856	"1226"	"PBS"	"DL198_noE"
3.35064726232006	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
9.88421178237009	9.9525857248782	7.56910883519147	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	9.3810183528326	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	9.82393065411733	8.42586240597343	7.72764227660722	0	6.76099028042	0	7.06152341394263	"1226"	"PBS"	"DL198_noE"
0	0	0	8.24182348357768	0	0	0	7.25130971819609	"1226"	"PBS"	"DL198_noE"
0	0	0	4.22966437166266	0	0	0	3.24047177530982	"1226"	"PBS"	"DL198_noE"
0	0	0	7.13817396225366	0	0	0	6.14766370554273	"1226"	"PBS"	"DL198_noE"
0	0	0	8.1403637964997	6.03468680532964	7.83593164008936	0	7.75223695273239	"1226"	"PBS"	"DL198_noE"
0	0	0	7.67058274440998	0	0	0	6.68006990466188	"1226"	"PBS"	"DL198_noE"
0	0	0	4.047436024362	0	0	0	3.05882274902557	"1226"	"PBS"	"DL198_noE"
0	0	0	0	0	5.32065126503932	0	4.33772126653058	"1226"	"PBS"	"DL198_noE"
0	0	0	8.01742290037335	0	0	0	7.02690938062353	"1226"	"PBS"	"DL198_noE"
0	0	0	3.28638971071194	0	0	0	2.30448858242708	"1226"	"PBS"	"DL198_noE"
0	0	7.85799925008734	0	0	7.58547237972208	0	6.60239713133642	"1226"	"PBS"	"DL198_noE"
0	0	3.05077037700262	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	9.65757816262457	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
0	0	0	3.82446399514057	0	0	0	2.8369137338056	"1226"	"PBS"	"DL198_noE"
0	0	0	6.97387115634524	0	0	0	5.98336243329994	"1226"	"PBS"	"DL198_noE"
5.46661691129906	10.5684257820569	9.21720896082065	0	0	7.51990772735585	0	6.5368327009003	"1226"	"PBS"	"DL198_noE"
4.49816376736928	0	0	0	0	0	0	0	"1226"	"PBS"	"DL198_noE"
