B	cDC1	cDC2	eos	mon	neu	pDC	mye	mouse	treatment	exp
0	0	0	8.335366471	0	0	0	7.166500226	92	FL	DL72
0	7.914757329	8.01206151	0	0	0	0	0	92	FL	DL72
0	10.0073669	8.167966407	7.687951374	5.669025478	0	0	6.668019685	92	FL	DL72
0	0	0	0	0	11.94401981	0	10.78411668	92	FL	DL72
0	0	0	0	0	10.25180193	0	9.091898818	92	FL	DL72
0	11.25664691	10.23235732	6.346975069	7.221172307	0	8.706878374	6.538759238	92	FL	DL72
0	0	0	0	0	3.222911858	0	2.077238775	92	FL	DL72
0	0	0	10.15025325	0	0	0	8.981386484	92	FL	DL72
0	8.004334235	10.51157225	0	0	0	0	0	92	FL	DL72
0	7.691922066	0	0	0	0	0	0	92	FL	DL72
0	7.427089572	9.580910071	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	1.987517687	0	0.965361733	92	FL	DL72
0	0	0	7.480821412	0	0	0	6.311957603	92	FL	DL72
0	0	0	0	6.014289486	0	0	5.035533395	92	FL	DL72
0	6.549209983	0	0	0	0	0	0	92	FL	DL72
0	0	3.009432543	0	0	0	0	0	92	FL	DL72
7.321796123	3.781957473	0	0	0	0	0	0	92	FL	DL72
0	6.991041533	7.909799875	0	0	0	0	0	92	FL	DL72
0	5.759793857	0	0	0	0	0	0	92	FL	DL72
0	4.827471164	0	5.503901243	0	0	0	4.335189497	92	FL	DL72
7.973173573	0	0	0	0	0	0	0	92	FL	DL72
0	7.012547703	9.081576618	0	9.888975993	0	8.395111866	8.910183603	92	FL	DL72
0	0	0	7.409060724	7.112896467	0	0	6.881702951	92	FL	DL72
3.920991271	0	3.162938829	0	0	0	0	0	92	FL	DL72
12.72689982	13.95571626	14.06103036	12.05488097	11.94854027	0	14.29030201	11.62190437	92	FL	DL72
0	0	0	0	0	13.6651566	0	12.50525347	92	FL	DL72
0	0	0	0	0	12.95437003	0	11.7944669	92	FL	DL72
0	6.458238614	0	0	0	7.747759793	0	6.587858374	92	FL	DL72
0	9.264638252	9.197312567	0	0	0	7.888675512	0	92	FL	DL72
0	0	0	0	0	11.8782289	0	10.71832578	92	FL	DL72
0	4.90542345	0	0	0	0	0	0	92	FL	DL72
0	8.200279182	8.373751733	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	8.590631736	0	7.430728924	92	FL	DL72
0	0	0	0	0	10.92999069	0	9.770087561	92	FL	DL72
5.697101563	5.359645982	0	0	0	0	8.577555589	0	92	FL	DL72
0	8.336124837	8.806089828	0	9.275743293	0	7.649281498	8.296950941	92	FL	DL72
0	0	2.606986907	0	0	0	0	0	92	FL	DL72
0	8.547549484	0	0	0	0	8.117157535	0	92	FL	DL72
14.15157632	11.08154767	10.59515204	0	7.511035171	0	9.715106578	6.532244585	92	FL	DL72
0	0	0	0	0	7.787158814	0	6.627257265	92	FL	DL72
0	0	0	0	0	8.13817131	0	6.978268965	92	FL	DL72
0	0	1.929691253	0	0	0	0	0	92	FL	DL72
0	0	4.105880919	0	0	8.821859607	0	7.661956678	92	FL	DL72
0	0	0	0	0	8.391807507	0	7.23190485	92	FL	DL72
0	9.515775054	9.268488845	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	8.713796869	0	7.553893988	92	FL	DL72
0	9.14992754	0	0	0	0	0	0	92	FL	DL72
0	0	2.606986907	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	7.729038504	0	6.56913715	92	FL	DL72
0	0	0	10.94451826	0	0	0	9.77565148	92	FL	DL72
0	6.304088821	7.219125286	0	0	0	0	0	92	FL	DL72
0	7.894831395	10.01610493	0	0	0	0	0	92	FL	DL72
0	6.610118501	5.985928626	0	0	0	0	0	92	FL	DL72
0	10.90473931	8.767999791	0	6.150552941	0	0	5.171788188	92	FL	DL72
0	4.880108491	0	0	0	0	0	0	92	FL	DL72
9.142917814	5.066676476	0	0	0	0	0	0	92	FL	DL72
0	6.721822128	0	0	0	0	0	0	92	FL	DL72
0	0	0	0	2.487529039	0	0	1.548081388	92	FL	DL72
0	0	0	0	0	8.123418674	0	6.963516352	92	FL	DL72
12.10539096	5.421201313	0	0	0	0	0	0	92	FL	DL72
0	8.87848672	8.32919385	0	0	0	0	0	92	FL	DL72
0	4.8000758	0	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	7.95375555	0	6.793853554	92	FL	DL72
0	7.310059359	0	0	0	0	0	0	92	FL	DL72
0	1.930891098	0	0	0	0	0	0	92	FL	DL72
0	9.455554479	9.668425548	0	0	0	0	0	92	FL	DL72
0	9.745017846	8.316913713	0	5.425055332	0	0	4.446380912	92	FL	DL72
0	6.978541392	0	0	0	0	0	0	92	FL	DL72
0	10.24362757	9.18182439	0	0	0	0	0	92	FL	DL72
0	4.583889325	0	0	0	0	0	0	92	FL	DL72
0	8.349785152	9.2805029	0	6.091519979	11.742907	0	10.58720508	92	FL	DL72
0	0	0	0	0	7.574362822	0	6.414462112	92	FL	DL72
0	0	0	10.29894573	0	0	0	9.130078962	92	FL	DL72
0	10.37078812	11.1524501	7.81087199	9.253105089	0	0	8.452858793	92	FL	DL72
0	8.483316532	7.734385162	10.26429738	0	0	0	9.095430607	92	FL	DL72
0	6.975391789	0	0	0	0	0	0	92	FL	DL72
0	11.74457733	11.09576362	0	12.24001203	0	11.99414998	11.26121963	92	FL	DL72
0	0	0	0	0	5.860388914	0	4.700560297	92	FL	DL72
0	7.151383951	0	0	0	0	0	0	92	FL	DL72
0	10.98770165	10.06947438	7.345834302	6.469583399	0	9.618110686	6.584762408	92	FL	DL72
0	0	6.232521378	6.254193961	4.944500921	0	0	5.367805368	92	FL	DL72
8.276141015	4.394695324	0	0	0	0	0	0	92	FL	DL72
10.79282061	11.54938617	11.62025781	6.901149077	8.074378626	0	11.58540109	7.32337049	92	FL	DL72
0	0	0	0	0	6.855144249	0	5.695251311	92	FL	DL72
0	0	0	0	0	0	2.569114693	0	92	FL	DL72
9.220278389	0	0	0	6.553890132	0	0	5.575110069	92	FL	DL72
6.982289408	0	0	0	0	0	0	0	92	FL	DL72
0	5.276958243	6.483098179	0	6.946505994	0	9.187294576	5.967719217	92	FL	DL72
7.252803317	0	0	0	0	0	0	0	92	FL	DL72
0	0	0	0	0	8.994098822	0	7.834195835	92	FL	DL72
0	9.138750211	7.74173273	0	0	0	0	0	92	FL	DL72
0	7.268578796	0	6.582696249	0	0	0	5.413847392	92	FL	DL72
6.293391073	8.263136486	8.622555425	0	12.8236853	0	9.809240978	11.8448929	92	FL	DL72
0	9.06892824	8.24166456	0	0	0	0	0	92	FL	DL72
7.056093264	0	0	0	0	0	0	0	92	FL	DL72
3.134038614	0	0	0	0	0	0	0	92	FL	DL72
0	7.25912247	7.779093384	7.892377731	10.37089876	0	8.044909488	9.459156928	92	FL	DL72
0	10.18437571	10.69101452	0	5.026171307	0	10.29351397	4.047640837	92	FL	DL72
0	0	0	0	4.122374189	0	0	3.175479207	91	PBS	DL72
0	10.08964374	0	6.626423895	5.094009723	5.528690143	0	5.981419028	91	PBS	DL72
0	2.476999662	0	0	0	0	0	0	91	PBS	DL72
0	6.782954567	8.472493308	7.208531552	5.508422305	0	0	6.354761232	91	PBS	DL72
0	10.40132405	0	9.200152052	0	0	0	8.164651067	91	PBS	DL72
0	8.493367155	0	0	0	0	0	0	91	PBS	DL72
5.495568562	10.1132427	9.541647612	10.67070184	11.30000298	11.4314515	10.00972813	11.16116003	91	PBS	DL72
9.351004373	10.20199643	10.39093415	6.243008948	7.241956478	9.498469644	9.810898002	8.333198391	91	PBS	DL72
10.98160748	0	0	0	6.539302086	0	0	5.590935009	91	PBS	DL72
0	0	0	5.744573845	3.968318311	0	0	4.878538586	91	PBS	DL72
0	0	0	8.768359936	5.865088873	6.247800782	0	7.844556919	91	PBS	DL72
0	11.96235137	9.713911154	7.042447772	10.84215934	9.346964908	11.11295841	10.05043941	91	PBS	DL72
0	0	0	2.273968994	0	0	0	1.30431051	91	PBS	DL72
11.81814901	0	0	0	4.427635808	0	0	3.480063685	91	PBS	DL72
0	0	0	0	7.697662496	0	0	6.749284751	91	PBS	DL72
4.966756104	9.948089216	9.204364309	0	3.680914007	0	0	2.736110598	91	PBS	DL72
0	11.84164151	9.079768988	12.86275434	9.914907338	11.37298128	11.4237687	12.02673455	91	PBS	DL72
0	12.87959194	13.25390877	10.15838701	8.058130132	10.61007874	11.33061313	9.944112384	91	PBS	DL72
0	9.269346931	10.48221684	0	4.661197425	0	0	3.713324465	91	PBS	DL72
0	11.93964537	12.81658618	6.511820965	6.946886921	5.356846354	11.3646548	6.545944516	91	PBS	DL72
0	0	10.2705062	8.909714048	5.731559944	0	0	7.91866487	91	PBS	DL72
0	0	0	9.020837146	4.778961699	0	0	8.000902948	91	PBS	DL72
0	0	0	8.461802276	0	0	0	7.426301531	91	PBS	DL72
0	7.611583321	10.21664269	0	0	0	0	0	91	PBS	DL72
0	0	0	10.87418918	7.226057908	10.24505634	0	10.18591225	91	PBS	DL72
0	0	0	0	0	0	3.321226265	0	91	PBS	DL72
0	10.88832315	0	10.33672649	10.44864426	9.017175501	7.750738573	10.18256065	91	PBS	DL72
0	0	0	0	3.430013776	0	0	2.487517676	91	PBS	DL72
0	9.757252139	0	0	6.015659639	8.069032425	10.1493549	6.889046358	91	PBS	DL72
8.303231815	10.39531803	10.8178409	8.540906451	7.346685782	7.05587493	10.59716932	7.907421781	91	PBS	DL72
0	7.565712891	8.350179742	7.94349625	4.373584872	0	0	6.938250418	91	PBS	DL72
0	0	0	8.304768056	0	5.292310897	0	7.304317709	91	PBS	DL72
6.306485256	0	8.467313867	5.30787048	0	0	0	4.272539416	91	PBS	DL72
0	8.458880982	0	0	0	0	0	0	91	PBS	DL72
0	10.83295092	10.40010308	11.63960196	12.24668531	12.28860105	10.63702332	12.08352758	91	PBS	DL72
5.774274764	0	0	0	7.070303572	0	8.50170518	6.121928752	91	PBS	DL72
0	0	0	0	3.968318311	0	6.935334837	3.021957003	91	PBS	DL72
0	0	0	10.93151958	4.850411256	6.661774473	0	9.908579038	91	PBS	DL72
0	8.970207704	7.21677444	0	4.850411256	0	0	3.902378983	91	PBS	DL72
0	12.08156079	11.10509862	13.92850644	14.10886625	14.13561686	13.4308365	14.05587652	91	PBS	DL72
14.39098562	0	0	0	7.352351515	0	0	6.403974931	91	PBS	DL72
7.561510173	9.099723024	0	0	0	0	0	0	91	PBS	DL72
0	0	0	8.383620986	0	0	0	7.348120293	91	PBS	DL72
0	0	0	4.56601676	0	0	0	3.531264529	91	PBS	DL72
0	8.989066823	9.265969885	10.69037316	4.815324388	0	0	9.657931548	91	PBS	DL72
0	0	7.67111163	0	0	0	0	0	91	PBS	DL72
